"_Column_","_CumLiftBest_","_CumLift_","_CumPctRespBest_","_CumPctResp_","_CumRespBest_","_CumResp_","_DataRole_","_Depth_","_Event_","_GainBest_","_Gain_","_LiftBest_","_Lift_","_NEventsBest_","_NEvents_","_NObs_","_PartInd_","_PctRespBest_","_PctResp_","_RespBest_","_Resp_","_TargetName_","_Value_","_formattedPartition_"
"P_churn1","8.24484697064","8.22402665001","100","99.7474747475","41.2242348532","41.1201332501","TRAIN","5"," 1","7.24484697064","7.22402665001","8.24484697064","8.22402665001","1980","1975","1980","1","100","99.7474747475","41.2242348532","41.1201332501","churn","0.879116644763","           1"
"P_churn1","8.24484697064","6.38559233812","100","77.4494949495","82.4484697064","63.8559233812","TRAIN","10"," 1","7.24484697064","5.38559233812","8.24484697064","4.54715802623","1980","1092","1980","1","100","55.1515151515","41.2242348532","22.7357901312","churn","0.192427310235","           1"
"P_churn1","6.66666666667","4.72066069817","80.8585858586","57.2558922559","100","70.8099104726","TRAIN","15"," 1","5.66666666667","3.72066069817","3.51030605871","1.39079741828","843","334","1980","1","42.5757575758","16.8686868687","17.5515302936","6.9539870914","churn","0.108452250469","           1"
"P_churn1","5","3.8059546117","60.6515974239","46.1674453845","100","76.119092234","TRAIN","20"," 1","4","2.8059546117","0","1.06183635228","0","255","1979","1","0","12.8852956038","0","5.3091817614","churn","0.0847386922345","           1"
"P_churn1","4","3.2138246929","48.5200525306","38.9837357309","100","80.3456173225","TRAIN","25"," 1","3","2.2138246929","0","0.845305017697","0","203","1980","1","0","10.2525252525","0","4.22652508849","churn","0.0730024602615","           1"
"P_churn1","3.33333333333","2.80102713582","40.4361003536","33.9787843071","100","84.0308140745","TRAIN","30"," 1","2.33333333333","1.80102713582","0","0.737039350406","0","177","1979","1","0","8.9439110662","0","3.68519675203","churn","0.0656885926123","           1"
"P_churn1","2.85714285714","2.47166949228","34.6586809063","29.9826814836","100","86.5084322299","TRAIN","35"," 1","1.85714285714","1.47166949228","0","0.495523631064","0","119","1980","1","0","6.0101010101","0","2.47761815532","churn","0.060287537826","           1"
"P_churn1","2.5","2.22621278368","30.3277135821","27.0063774705","100","89.0485113471","TRAIN","40"," 1","1.5","1.22621278368","0","0.508015823444","0","122","1979","1","0","6.16472966145","0","2.54007911722","churn","0.0559377253325","           1"
"P_churn1","2.22222222222","2.01957110139","26.9574002357","24.4990739182","100","90.8806995628","TRAIN","45"," 1","1.22222222222","1.01957110139","0","0.36643764314","0","88","1980","1","0","4.44444444444","0","1.8321882157","churn","0.0524643213894","           1"
"P_churn1","2","1.85134291068","24.2624772681","22.459082643","100","92.567145534","TRAIN","50"," 1","1","0.851342910681","0","0.337289194254","0","81","1979","1","0","4.09297625063","0","1.68644597127","churn","0.0493049495468","           1"
"P_churn1","1.81818181818","1.70802339447","22.0563923586","20.7200587803","100","93.9412866958","TRAIN","55"," 1","0.818181818182","0.708023394469","0","0.274828232355","0","66","1980","1","0","3.33333333333","0","1.37414116177","churn","0.0466660732314","           1"
"P_churn1","1.66666666667","1.58477340551","20.2189012839","19.2254262261","100","95.0864043306","TRAIN","60"," 1","0.666666666667","0.58477340551","0","0.229023526962","0","55","1979","1","0","2.77918140475","0","1.14511763481","churn","0.0441184902368","           1"
"P_churn1","1.53846153846","1.47984432806","18.6632990091","17.9522051681","100","96.1898813242","TRAIN","65"," 1","0.538461538462","0.479844328064","0","0.220695398709","0","53","1980","1","0","2.67676767677","0","1.10347699355","churn","0.0417165277468","           1"
"P_churn1","1.42857142857","1.38663335415","17.330591037","16.8218229054","100","97.0643347908","TRAIN","70"," 1","0.428571428571","0.386633354154","0","0.174890693317","0","42","1979","1","0","2.12228398181","0","0.874453466583","churn","0.0394226537068","           1"
"P_churn1","1.33333333333","1.30390728017","16.1749848454","15.8180103725","100","97.7930460129","TRAIN","75"," 1","0.333333333333","0.303907280172","0","0.145742244431","0","35","1980","1","0","1.76767676768","0","0.728711222153","churn","0.0371742978151","           1"
"P_churn1","1.25","1.22865917135","15.1643355539","14.9054399646","100","98.2927337081","TRAIN","80"," 1","0.25","0.228659171351","0","0.0999375390381","0","24","1979","1","0","1.21273370389","0","0.499687695191","churn","0.0347958304729","           1"
"P_churn1","1.17647058824","1.16544806555","14.2721302707","14.1384126229","100","99.0630855715","TRAIN","85"," 1","0.176470588235","0.165448065547","0","0.154070372684","0","37","1980","1","0","1.86868686869","0","0.770351863419","churn","0.0322747673094","           1"
"P_churn1","1.11111111111","1.10463367803","13.4794566682","13.4008756174","100","99.4170310223","TRAIN","90"," 1","0.111111111111","0.104633678025","0","0.070789090152","0","17","1979","1","0","0.859019706923","0","0.35394545076","churn","0.0293958721617","           1"
"P_churn1","1.05263157895","1.0493441599","12.7698606828","12.7299797937","100","99.6876951905","TRAIN","95"," 1","0.0526315789474","0.0493441599001","0","0.0541328336456","0","13","1980","1","0","0.656565656566","0","0.270664168228","churn","0.0256735662641","           1"
"P_churn1","1","1","12.1318514776","12.1318514776","100","100","TRAIN","100"," 1","0","0","0","0.0624609618988","0","15","1978","1","0","0.758341759353","0","0.312304809494","churn","0.00845654064078","           1"
